Qubits,Topology,Targets,J,Phase,Gates_A,Gates_B,Node,Success,Time_s,State,Shots
9,1_to_8,100000001|010000010|001000100,9,2.705,122,756,genofun,True,5.74589204788208,010000010,343
9,1_to_8,100000001|010000010|001000100,9,2.705,122,756,genofun,True,5.74589204788208,001000100,342
9,2_to_7,100000001|010000010|001000100,9,2.705,204,674,genofun,True,25.90717387199402,100000001,344
9,2_to_7,100000001|010000010|001000100,9,2.705,204,674,genofun,True,25.90717387199402,010000010,340
9,2_to_7,100000001|010000010|001000100,9,2.705,204,674,genofun,True,25.90717387199402,001000100,316
9,3_to_6,100000001|010000010|001000100,9,2.705,286,592,genofun,True,156.78762817382812,100000001,306
9,3_to_6,100000001|010000010|001000100,9,2.705,286,592,genofun,True,156.78762817382812,010000010,346
9,3_to_6,100000001|010000010|001000100,9,2.705,286,592,genofun,True,156.78762817382812,001000100,348
9,4_to_5,100000001|010000010|001000100,9,2.705,388,490,genofun,True,736.4142134189606,100000001,328
9,4_to_5,100000001|010000010|001000100,9,2.705,388,490,genofun,True,736.4142134189606,010000010,330
9,4_to_5,100000001|010000010|001000100,9,2.705,388,490,genofun,True,736.4142134189606,001000100,342
9,5_to_4,100000001|010000010|001000100,9,2.705,490,388,genofun,True,4161.00012922287,100000001,343
9,5_to_4,100000001|010000010|001000100,9,2.705,490,388,genofun,True,4161.00012922287,010000010,310
9,5_to_4,100000001|010000010|001000100,9,2.705,490,388,genofun,True,4161.00012922287,001000100,347
9,6_to_3,100000001|010000010|001000100,9,2.705,592,286,genofun,True,17777.821383714676,100000001,327
9,6_to_3,100000001|010000010|001000100,9,2.705,592,286,genofun,True,17777.821383714676,010000010,340
9,6_to_3,100000001|010000010|001000100,9,2.705,592,286,genofun,True,17777.821383714676,001000100,333
3,1_to_2,001|110,0,3.1416,11,19,computaex,True,1.2347908020019531,001,494
3,1_to_2,001|110,0,3.1416,11,19,computaex,True,1.2347908020019531,110,506
3,2_to_1,001|110,0,3.1416,19,11,computaex,True,4.275716781616211,001,477
3,2_to_1,001|110,0,3.1416,19,11,computaex,True,4.275716781616211,110,523
4,1_to_3,0011|1100,1,2.1269,20,48,computaex,True,4.280775308609009,0011,513
4,1_to_3,0011|1100,1,2.1269,20,48,computaex,True,4.280775308609009,1100,487
4,2_to_2,0011|1100,1,2.1269,34,34,computaex,True,4.407210111618042,0011,488
4,2_to_2,0011|1100,1,2.1269,34,34,computaex,True,4.407210111618042,1100,512
4,3_to_1,0011|1100,1,2.1269,48,20,computaex,True,5.021352529525757,0011,489
4,3_to_1,0011|1100,1,2.1269,48,20,computaex,True,5.021352529525757,1100,511
5,1_to_4,00001|00010|00100,2,1.6272,44,122,computaex,True,4.408285140991211,00001,329
5,1_to_4,00001|00010|00100,2,1.6272,44,122,computaex,True,4.408285140991211,00010,340
5,1_to_4,00001|00010|00100,2,1.6272,44,122,computaex,True,4.408285140991211,00100,331
5,2_to_3,00001|00010|00100,2,1.6272,76,90,computaex,True,4.825676679611206,00001,315
5,2_to_3,00001|00010|00100,2,1.6272,76,90,computaex,True,4.825676679611206,00010,354
5,2_to_3,00001|00010|00100,2,1.6272,76,90,computaex,True,4.825676679611206,00100,331
5,3_to_2,00001|00010|00100,2,1.6272,102,64,computaex,True,7.646238327026367,00001,305
5,3_to_2,00001|00010|00100,2,1.6272,102,64,computaex,True,7.646238327026367,00010,354
5,3_to_2,00001|00010|00100,2,1.6272,102,64,computaex,True,7.646238327026367,00100,341
3,1_to_2,001|110,0,3.1416,11,19,computaex,True,1.180445671081543,001,518
3,1_to_2,001|110,0,3.1416,11,19,computaex,True,1.180445671081543,110,482
